"cat_code","age","sex","logMR","ch_grp","subch_grp","cat_range","ucd"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","85+","diff",-0.00501146538872543,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","55-64","Male",0.0932873779226535,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","55-64","diff",0.0353853817937894,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","65-74","diff",-0.0506733129144177,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","45-54","Male",-1.27005029841627,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","45-54","diff",-0.0676423722311497,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","75-84","diff",-0.00939647217222372,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A09","85+","Female",2.24531227916754,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","85+","Female",2.24531227916754,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","85+","Female",2.24531227916754,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","75-84","Male",0.878825281799371,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","75-84","Male",0.878825281799371,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","75-84","Male",0.878825281799371,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","85+","diff",-0.165483665639013,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","85+","diff",-0.165483665639013,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","85+","diff",-0.165483665639013,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","65-74","Male",-0.182077773693735,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","65-74","Male",-0.182077773693735,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","65-74","Male",-0.182077773693735,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","55-64","diff",-0.106751574188201,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","55-64","diff",-0.106751574188201,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","55-64","diff",-0.106751574188201,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","85+","Male",2.07982861352853,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","85+","Male",2.07982861352853,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","85+","Male",2.07982861352853,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","75-84","Female",1.05335346461806,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","75-84","Female",1.05335346461806,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","75-84","Female",1.05335346461806,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","55-64","Male",-1.08432404931829,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","55-64","Male",-1.08432404931829,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","55-64","Male",-1.08432404931829,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","45-54","Female",-2.0467559319259,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","45-54","Female",-2.0467559319259,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","45-54","Female",-2.0467559319259,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","65-74","diff",-0.177534819595547,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","65-74","diff",-0.177534819595547,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","65-74","diff",-0.177534819595547,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","75-84","diff",-0.174528182818692,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","75-84","diff",-0.174528182818692,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","75-84","diff",-0.174528182818692,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","45-54","Male",-2.06801436863533,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","45-54","Male",-2.06801436863533,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","45-54","Male",-2.06801436863533,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","45-54","diff",-0.0212584367094282,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","45-54","diff",-0.0212584367094282,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","45-54","diff",-0.0212584367094282,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","55-64","Female",-0.977572475130084,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","55-64","Female",-0.977572475130084,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","55-64","Female",-0.977572475130084,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A09","65-74","Female",-0.00454295409818855,"A00-B99","A00-A09","A00-A09","Other and unspecified gastroenteritis and colitis of infectious origin"
"A09","65-74","Female",-0.00454295409818855,"A00-B99","A00-A09","A00-A09","Diarrhoea and gastroenteritis of infectious origin"
"A09","65-74","Female",-0.00454295409818855,"A00-B99","A00-A09","A00-A09","Gastroenteritis and colitis of unspecified origin"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16","85+","Female",0.191717653380576,"A00-B99","A16-A19","A16-A19","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16","65-74","Male",-0.589984885457452,"A00-B99","A16-A19","A16-A19","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16","55-64","diff",1.17963781523358,"A00-B99","A16-A19","A16-A19","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16","75-84","Male",0.210044082172848,"A00-B99","A16-A19","A16-A19","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Tuberculosis of lung, without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Primary respiratory tuberculosis without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
"A16","75-84","Female",-0.380796917679462,"A00-B99","A16-A19","A16-A19","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
"A16","55-64","Male",-1.13919196770879,"A00-B99","A16-A19","A16-A19","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
